Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
MagicDoor,https://www.crunchbase.com/organization/magicdoor,,1,Active,For Profit,,"MagicDoor is revolutionizing property management through our comprehensive Cloud Property Management Platform, designed to be the ultimate tool for property managers. Our platform offers a streamlined solution that encompasses every aspect of property management, including efficient rent collection, extensive property listings, thorough tenant screening, organized maintenance requests, and sophisticated accounting and reporting capabilities. Our platform stands out with a full-featured tenant communication system that facilitates seamless interaction via app, email, or text, reminiscent of Slack's user-friendly interface. At the core of MagicDoor is a commitment to innovation through integrated AI, which permeates all our systems, ensuring property managers spend less time on routine tasks and more on scaling their portfolios. Our user-centric approach is geared towards enhancing productivity and simplifying operations, making property management a hassle-free experience. MagicDoor isn't just a service provider; we're a growth partner for property managers looking to leverage technology for a competitive edge. With MagicDoor, property management is not only about managing assets but also about unlocking potential.",,2023-06-01,day,"Accounting, Artificial Intelligence (AI), FinTech, Property Management, Real Estate, Rental Property","Las Vegas, Nevada, United States",AI-driven platform streamlining property management and tenant engagement,"356,181",,,,,,,,,,https://www.magicdoor.com,Western US,,,,https://www.linkedin.com/company/magicdoorinc,,,,,,2,1-10,"Kasper Rune Sogaard, Yingmei Sogaard"
TrueName,https://www.crunchbase.com/organization/truename,,,Active,For Profit,2023-12-01,"TrueName builds AI-enabled research tools for investing, intelligence, and legal research. The core technology we are developing is the Tacit Knowledge Engine. The engine uses generative AI to extend explicit recorded knowledge to include implicit knowledge which may only be produced by reasoning over information from separate sources. The engine pairs superior retrieval techniques with just-in-time reasoning, allowing the user to tap a virtual store of knowledge which is not available publicly.",Angel,2023-04-01,month,"Artificial Intelligence (AI), Financial Services, Legal Tech, Market Research","Wilmington, Delaware, United States","Generative AI Knowledge Engine for Intelligence, Investing, and Legal Research","362,717",,,,,USD,,,,,https://truename.ai,"Greater Philadelphia Area, East Coast, Southern US",,,,,,,,,,1,1-10,Kevin Muto
Real Estate Assistant AI,https://www.crunchbase.com/organization/real-estate-assistant-ai,,,Active,For Profit,,,,2023-08-23,day,"Artificial Intelligence (AI), Real Estate","Austin, Texas, United States",AI & Human Agents for the Real Estate Industry,"366,629",,,,,,,,,,https://www.realestateassistant.ai,Southern US,,,,https://www.linkedin.com/company/realestateassistantai,,,,,,2,1-10,"Hunter Gregg, Kaihuan Huang"
Just Think AI,https://www.crunchbase.com/organization/just-think-ai,,,Active,For Profit,,"All-in-one AI toolkit for Educators and Entrepreneurs. Seamlessly combine AI chat, text-to-speech, art generation, and video creation. Engage in natural conversations, turn text into audiobooks, create stunning visuals, and make videos.",,2023-03-20,day,"Artificial Intelligence (AI), EdTech, Education, SaaS","Dallas, Texas, United States",All-in-one AI toolkit for Educators and Entrepreneurs,"368,333",,,,,,,,,,https://justthink.ai,"Dallas/Fort Worth Metroplex, Southern US",,https://twitter.com/@Justthinkai,https://facebook.com/justthink,https://www.linkedin.com/company/just-think-ai,,,,,,1,1-10,James McDowell
the data_science academy,https://www.crunchbase.com/organization/the-data-science-academy,,,Active,For Profit,,"Upskill workforce. Reduce turnover. Increase productivity. `the data science academy` is a company specialized in providing in-company training for Artificial Intelligence, Data Science and Data Enginering for any audience.    Our trainings are custom-made to fit your very unique needs, technologies, projects and background.  We provide much more than just a training.  Trainings designed to any profile, any background, any professional. Hands-on trainings 'bootcamp style'. Just enought theory. 85% Practical 15% Theory. Add value to your organization by developing your own projects with your own day-to-day data.",,2023-09-01,day,"Artificial Intelligence (AI), Business Intelligence, EdTech, Machine Learning","Austin, Texas, United States","EdTech, In-Company training","368,639",,,,,,,,,,https://thedatascience.academy/,Southern US,,,,https://www.linkedin.com/company/the-data-science-academy/,,,,,,1,1-10,Pablo Moreno
Summio,https://www.crunchbase.com/organization/summio,,,Active,For Profit,,"Streamline and optimize the sales process of your business by automating lead generation, qualification, and meeting scheduling. Summio leverages the power of AI to fill startup's sales pipeline with qualified leads, helping reduce costs by minimizing operational expenses. We are the one-stop platform for early and growth-stage startups seeking to scale their outbound and inbound sales efforts in an efficient and affordable way.",,2023-08-01,day,"Artificial Intelligence (AI), Enterprise Software, Internet, Sales Automation","Wilmington, Delaware, United States","Supercharge your sales with AI. Automate prospecting, qualifying, and meeting scheduling, so you can focus on closing deals.","370,886",,,,,,,,,,https://summio.co/,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/SummioAI,https://www.facebook.com/SummioAI,https://www.linkedin.com/company/summio/,,,,,,2,1-10,"Lalit Mohan Chawla, Rodrigo Lobera"
HALO HALO MEDIA LLC.,https://www.crunchbase.com/organization/halo-halo-media-llc,,,Active,For Profit,,,,2023-05-31,day,"Artificial Intelligence (AI), Mobile Apps, Software","Royal Palm Beach, Florida, United States",Mobile App,"371,602",,,,,,,,,,http://www.halohaloapp.com,"Greater Miami Area, East Coast, Southern US",,https://twitter.com/HaloHaloHQ,https://www.facebook.com/profile.php?id=100094494759384,https://www.linkedin.com/company/halo-halo-media-ltd/,,,,,,,1-10,
Sprezi,https://www.crunchbase.com/organization/copine,,1,Active,For Profit,,"Sprezi is a reinforcement learning engine focused on core travel recommendations, when and where you need them most. The company masters the science of utilizing your tastes, preferences, and relationships — synthesizing them into inference graphs to ensure they serve and support you.  Sprezi will become your preferred window for exposure to travel decisions, giving you the confidence of knowing every factor available to enhance any of your experiences is known, has been considered, weighted toward your preferences, and curated precisely for you.",,2023-07-17,day,"Artificial Intelligence (AI), Consumer, Software, Travel","New York, New York, United States","Sprezi is a reinforcement learning engine focused on core travel recommendations, when and where you need them most.","373,353",,,,,,,,,,https://www.sprezi.com,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/sprezi_ai,,https://www.linkedin.com/company/sprezi,,,,,,,1-10,
Achieve Advancement,https://www.crunchbase.com/organization/achieve-advancement,,,Active,For Profit,,We develop products with AI to help individuals and businesses grow & develop by bringing the power of a coach to everyone.,,2023-09-26,day,"Artificial Intelligence (AI), EdTech, Education, Human Resources, Information Technology","New York, New York, United States",AI Coaching Platform,"373,927",,,,,,,,,,https://bunch.ai,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/bunch_hq,,https://www.linkedin.com/company/bunchai,,,,,,2,1-10,"Anthony Reo, Darja Gutnick"
Stow Travel,https://www.crunchbase.com/organization/stow-8d42,,,Active,For Profit,,,,2023-04-01,month,"Artificial Intelligence (AI), Travel","New York, New York, United States","Stow is an AI-powered travel assistant unifying the planning, shopping, and booking experience.","375,247",,,,,,,,,,https://www.stow.travel/,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/stowhq,https://www.facebook.com/stowhq,https://www.linkedin.com/company/stow-hq,,,,,,3,1-10,"Brandon Lane, Chung Ng, Jonathan Liang"
SC Solutions,https://www.crunchbase.com/organization/sc-solutions-e56b,,,Active,For Profit,,"SC Solutions addresses the gap in the commercial market for integrated, accessible, affordable, and comprehensible earth intelligence. SC Solutions'  earth observation platform fuses real-time satellite data and applies advanced analytics to provide cutting-edge insights for a broad range of commercial applications, including: agriculture, forestry, mining, environmental monitoring, and asset management.",,2023-07-01,month,"Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Business Intelligence, Geospatial, Natural Resources","Washington, District of Columbia, United States","Earth Observation, Data Analytics, AI, Geospatial Analytics, Space","376,003",,,,,,,,,,https://www.scsolutions.ai,"Washington DC Metro Area, Southern US",,,,,,,,,,2,1-10,"Cliff Beek, Ziheng Xiang"
Dropsite,https://www.crunchbase.com/organization/dropsite,,1,Active,For Profit,,"Backed by expert AI solutions architects, our formulated orchestration platform brings automation within reach for businesses of any size and industry.",,2023-05-05,day,"Artificial Intelligence (AI), Software","Los Angeles, California, United States",Dropsite enables teams to collaboratively build reusable and reliable AI automations with help from expert AI solutions architects.,"386,193",,,,,,,,,,https://dropsite.ai,"Greater Los Angeles Area, West Coast, Western US",,,,https://www.linkedin.com/company/dropsite,,,,,,2,1-10,"Steve Marshall, Winton Welsh"
Momo,https://www.crunchbase.com/organization/momo-c36e,,,Active,For Profit,,,,2023-03-14,day,"Artificial Intelligence (AI), Travel","Palo Alto, California, United States",AI that plans trips for you,"389,183",,,,,,,,,,https://momohq.com,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/momoai/,,,,,,,1-10,
Crafted Research,https://www.crunchbase.com/organization/crafted-research,,,Active,For Profit,,Using AI (such as ChatGPT) to automate research with enterprise SaaS. Pitch deck available here: https://www.canva.com/design/DAFfW7upl-A/yIXJPM2wldaiSw2_Rr6yxA/edit?utm_content=DAFfW7upl-A&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,2023-04-06,day,"Artificial Intelligence (AI), Enterprise Software, Natural Language Processing, Productivity Tools, SaaS, Search Engine, Semantic Search, Software","Madison, Wisconsin, United States","AI-enabled, one-search research platform. See full description for link to pitch deck.","390,984",,,,,,,,,,https://www.craftedresearch.com,"Great Lakes, Midwestern US",,,,,,,,,,1,1-10,Emma Frankham
Kimia,https://www.crunchbase.com/organization/kimia-819f,,,Active,For Profit,,,,2023-05-10,day,"Artificial Intelligence (AI), Building Material, Chemical, Chemical Engineering","San Francisco, California, United States",AI Copilot For Chemical Companies,"395,349",,,,,,,,,,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,11-50,
AICenter,https://www.crunchbase.com/organization/aicenter,"125,864",,Active,For Profit,,"AI Center is a platform that solves the biggest problem of consumer AI products - an ocean of products for a pond of customers - by matching users with the AI products for their needs. Our goal is to ensure customers find the AI Tools they for all their needs, and companies to reach the customers their products were built for.",,2023-03-24,day,"Artificial Intelligence (AI), B2B, B2C, Communities, Software","New York, New York, United States","Directory for all AI tools with advanced search function, powered by Google and AI.","396,598",,,,,,,,,,https://www.aicenter.ai/,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/AICenter_ai,,https://www.linkedin.com/company/ai-center-ai/,,,,,,,1-10,
askly.ai,https://www.crunchbase.com/organization/askly-ai,"29,609",,Active,For Profit,,"Meet Askly, your go-to AI-powered question-answering engine. Say goodbye to tedious manual searches. Upload your documents, ask your questions, and receive precise answers instantly.",,2023-04-01,day,"Artificial Intelligence (AI), Machine Learning, SaaS","Middletown, Delaware, United States","Meet Askly, your personal AI copilot!","396,969",,,,,,,,,,https://askly.ai,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/askly_ai,,,,,,,,,1-10,
Sentius,https://www.crunchbase.com/organization/sentius-f241,,,Active,For Profit,,"Utilize AI like never before. At Sentius, we’re building Autonomous Agents that are revolutionizing the way businesses operate, empowering humans and positively impacting the world on the path to Artificial General Intelligence.",,2023-05-04,day,"Artificial Intelligence (AI), Generative AI","San Mateo, California, United States",We automate enterprise tasks with Generative AI using Autonomous Agents,"397,553",,,,,,,,,,https://www.sentius.ai/,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/sentiusai,https://www.facebook.com/sentiusai,https://www.linkedin.com/company/sentiusai/,,,,,,3,1-10,"Daniel Kornev, Diliara Zharikova, Mikhail Burtsev"
Uptime Industries,https://www.crunchbase.com/organization/uptime-industries,,,Active,For Profit,,"Creators of LLM in a Box, your compliant edgeLLM assistant, and ComputeBlade.com. Originating from enterprise necessity, energized by community synergy, and made accessible for all. Cluster Computing and LLMs made easy and accessible, right out of the box.",,2023-04-23,day,"Artificial Intelligence (AI), Computer, Developer APIs, Generative AI, Natural Language Processing","New York, New York, United States",Creators of LLM in a Box and computeblade.com,"399,970",,,,,,,,,,https://uptime.industries/,"Greater New York Area, East Coast, Northeastern US",,https://x.com/Merocle,,https://www.linkedin.com/company/uptimeindustries,,,,,,,11-50,
Voices AI,https://www.crunchbase.com/organization/voices-ai-71e9,,,Active,For Profit,,,,2023-06-01,month,"Artificial Intelligence (AI), Mobile Apps, Software","Casper, Wyoming, United States",AI Software & Mobile App,"400,685",,,,,,,,,,https://getvoices.ai,Western US,,https://twitter.com/getvoicesai,,https://www.linkedin.com/company/voices-ai,,,,,,,1-10,
AdMill,https://www.crunchbase.com/organization/admill,,,Active,For Profit,,Multi-agent generative AI marketing tool for SMBs.,,2023-03-17,day,"Advertising, Artificial Intelligence (AI), Intelligent Systems, Marketing Automation, Software","Monterey, California, United States",Everyone's Private Marketer,"401,533",,,,,,,,,,https://www.admill.co,"West Coast, Western US",Less than $1M,,https://www.facebook.com/profile.php?id=100090461957544/,https://www.linkedin.com/company/admill-corp,,,,,,2,1-10,"Max Usubyan, Roman Kutanov"
Genery,https://www.crunchbase.com/organization/genery,,,Active,For Profit,,,,2023-05-15,day,"Database, Film, Generative AI, SaaS","Beaverton, Oregon, United States",The largest reference gallery and world's best AI for cinematic professionals to allow them to create movie-style images from the text.,"403,099",,,,,,,,,,https://www.genery.ai/,"West Coast, Western US",,,,https://www.linkedin.com/company/genery/,,,,,,3,1-10,"Artemiy Nikitenko, Bohdan Popravko, Ivan Zmaev"
Profile Insights AI,https://www.crunchbase.com/organization/the-pet-sitter,439,,Active,For Profit,,We save service marketplaces money!,,2023-10-01,month,"Artificial Intelligence (AI), Marketplace, SaaS","New York, New York, United States",SaaS,"410,105",,,,,,,,,,https://www.profileinsights.ai,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/proinsightsai,,https://www.linkedin.com/company/profileinsightsai,,,,,,1,1-10,Graeme Rycyk
nibnab,https://www.crunchbase.com/organization/nibnab,,,Active,For Profit,,,,2023-09-01,month,"Artificial Intelligence (AI), Consumer Software, Enterprise Software, Social Network","Wilmington, Delaware, United States","AI-driven discovery, creation, negotiation & closing of opportunities.","412,199",,,,,,,,,,https://nibnab.ai,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/nibnab_ai,,https://www.linkedin.com/company/nibnab/,,,,,,1,1-10,Nikolay Tsenkov
"Shouldrs, Inc.",https://www.crunchbase.com/organization/shouldrs-inc,,,Active,For Profit,,Shouldrs is an AI-drive B2B SaaS platform that automates overhead and administrative processes for small businesses.,,2023-03-24,day,"Artificial Intelligence (AI), Business Process Automation (BPA), SaaS, Small and Medium Businesses, Software","Herndon, Virginia, United States",SaaS,"419,623",,,,,,,,,,https://shouldrs.com,"Washington DC Metro Area, East Coast, Southern US",,,,https://www.linkedin.com/company/shouldrs-inc/,,,,,,1,1-10,Chris Simkins
DePassport,https://www.crunchbase.com/organization/depassport,,,Active,For Profit,,"DePassport uses advanced AI compatibility matching to connect people based on their profiles, preferences and characteristics across different profile types. At DePassport, we're driven by the power of human connections, enhanced using our compatibility AI to forge more meaningful & successful relationships. Our hyper-personalized connection platform reaches a vast audience, embracing the thrill of meeting new people suited to everyone's individual preferences with the help of advanced technology. With an extensive user base, numerous interactions, and a growing global presence, DePassport is at the forefront of revolutionizing social connections, offering an immersive experience that resonates with modern needs for interaction and understanding and powered by advanced AI technology for matching individuals based on characteristics, traits and personality. Our commitment is to keeping the essence of human connection thriving in an ever-evolving digital world.",,2023-06-01,month,"Artificial Intelligence (AI), Dating, Information Technology, Internet, Machine Learning, Social Media, Software","Palo Alto, California, United States",Software. AI/ML. People Compatibility Matching. Connection People,"419,636",,,,,,,,,,https://depassport.com,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/DPassport14032,https://www.facebook.com/DePassport4/,https://www.linkedin.com/company/depassport1/,,,,,,1,1-10,Darlington Oguzie
Carelog,https://www.crunchbase.com/organization/carelog,,2,Active,For Profit,,"Carelog develops and creates information technology solutions for the healthcare industry. It uses deep learning models on electrocardiogram readings to help with medical diagnosis. Carelog was founded in 2023 and is based in California, USA.",,2023-04-01,month,"Artificial Intelligence (AI), Health Care, Health Diagnostics","Manteca, California, United States",Carelog develops and creates information technology solutions for the healthcare industry.,"420,449",,,,,,,,,,https://aicardiocare.com/,"West Coast, Western US",,,,https://www.linkedin.com/company/aicarelog,,,,,,2,1-10,"Aman Alok, Sathis Kumar"
AI-X LAB,https://www.crunchbase.com/organization/ai-x-hodling,,,Active,For Profit,,AI SAFETY & PRIVACY & MORE,,2023-05-18,day,"Artificial Intelligence (AI), Software","New York, New York, United States",AI SAFETY & PRIVACY & MORE,"424,116",,,,,,,,,,https://www.certifies.ai,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,1-10,
"Echo Systems AI, Inc.",https://www.crunchbase.com/organization/echo-systems-ai-inc,,,Active,For Profit,,,,2024-01-02,day,Artificial Intelligence (AI),"San Francisco, California, United States",Real-time voice assistant,"426,950",,,,,,,,,,https://www.echosystems.io,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,1,1-10,Cat Dumitru
Uber Engineer,https://www.crunchbase.com/organization/uber-engineer,,,Active,For Profit,,"Discover a new era of IT support with Uber Engineering, your trusted AI copilot for all your technical needs. Seamlessly integrating cutting-edge artificial intelligence with expert IT assistance, we're here to revolutionize the way you manage your technology infrastructure. Our AI copilot harnesses the power of machine learning and natural language processing to provide intelligent IT support tailored to your requirements. From troubleshooting common issues to offering proactive solutions, our AI is always at your service. Say goodbye to long wait times and tedious troubleshooting processes. With Uber Engineering's AI copilot, you'll experience rapid response times and swift resolution of IT issues, allowing you to get back to business faster.",,2024-02-15,day,"Artificial Intelligence (AI), Information Technology","New York, New York, United States","Discover a new era of IT support with Uber Engineering, your trusted AI copilot for all your technical needs.","427,042",,,,,,,,,,https://uberengineer.oguntolawale.us/,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/uberengineer,https://facebook.com/uberengineer,https://linkedin.com/in/uberengineer,,,,,,1,1-10,Oguntola Olawale
Salience Ventures,https://www.crunchbase.com/organization/salience-ventures,,,Active,For Profit,,Positive Sum Value Creation,,2023-06-01,day,Artificial Intelligence (AI),"San Francisco, California, United States",Positive Sum Value Creation,"428,579",,,,,,,,,,https://www.salience.ventures/,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,3,1-10,"Aqeel Ali, Ro Pi, Roger Pincombe"
ChatGPT AI Hub,https://www.crunchbase.com/organization/chatgpt-ai-hub,"8,339",,Active,For Profit,,"ChatGPTAI Hub is an innovative startup simplifying AI adoption and boosting productivity. They offer a suite of AI-related tools, including an AI content detector, prompt generator, and AI pricing calculator, empowering users to harness the power of AI effectively. With a focus on providing easy-to-use solutions, they aim to revolutionize the way businesses and individuals integrate AI into their daily operations and decision-making processes.",,2023-06-01,day,"Artificial Intelligence (AI), Machine Learning","Los Angeles, California, United States",ChatGPTAI Hub: Simplifying AI adoption & boosting productivity with smart AI tools. Empowering businesses to harness AI effectively.,"430,670",,,,,,,,,,https://chatgptaihub.com/,"Greater Los Angeles Area, West Coast, Western US",,https://twitter.com/chatgptaihub,https://www.facebook.com/chatgptaihub	,https://www.linkedin.com/company/chatgptaihub/,,,,,,1,1-10,Umar Arshad
Imaginova,https://www.crunchbase.com/organization/imaginova-c65b,,,Active,For Profit,,"Imaginova is an innovative AI-powered tool tailored for children aged 4-9, powering them to create captivating storybooks. While using our product, children lead the way in transforming their imaginative ideas into storybooks with vibrant images and engaging text. Our AI agents act as supportive guides, empowering young talents throughout their creative journey. What truly sets Imaginova apart is its magical ability to breathe life into characters! Children's creations come alive, interacting with them to craft a profoundly immersive storytelling experience. At Imaginova, our vision is clear: ""Ignite Imagination, Illuminate Minds."" Join us on this journey to spark creativity and enlighten young minds.",,2023-11-29,day,"Edutainment, Generative AI","San Francisco, California, United States",AI-powered storybook creation & character interaction,"430,733",,,,,,,,,,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,1,1-10,Alaia Sun
Outstox,https://www.crunchbase.com/organization/outstox,,,Active,For Profit,,"Spinning out of Harvard University, Outstox leverages state-of-the-art AI technology combined with behavioural neuroscience to connect niche customers to exact products. Outstox is active in NYC, USA and Enschede, the Netherlands.",,2023-04-01,day,Generative AI,"Breezy Point, New York, United States",Outstox leverages generative AI technology combined with behavioral neuroscience to connect niche customers to exact local products.,"433,578",,,,,,,,,,https://outstox.com,"East Coast, Northeastern US",,https://mobile.twitter.com/outstox,,https://www.linkedin.com/company/outstox/about/?viewAsMember=true,,,,,,,1-10,
AI Tool Directory,https://www.crunchbase.com/organization/ai-tool-directory,"3,512",,Active,For Profit,,"ToolDirectory.ai stands as the premier hub for AI enthusiasts, professionals, and innovators seeking the best tools the industry has to offer. Our platform meticulously curates a vast array of AI tools and platforms, ensuring users have access to the latest and most effective solutions available. Whether you're a startup looking to leverage AI for growth, a researcher aiming to push the boundaries of knowledge, or a business seeking to optimize operations, ToolDirectory.ai has something for everyone. Beyond just a directory, we provide insights, reviews, and user feedback, ensuring you make informed decisions. Navigate the complex landscape of AI with confidence and precision, and let ToolDirectory.ai be your compass in the ever-evolving world of artificial intelligence.",,2023-06-16,day,"Artificial Intelligence (AI), Publishing","New York, New York, United States",ToolDirectory.ai: Your definitive gateway to the AI universe. Dive deep into a curated collection of cutting-edge AI tools and platforms.,"434,872",,,,,,,,,,https://www.tooldirectory.ai,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,1-10,
Planify.holiday,https://www.crunchbase.com/organization/planify-holiday,,,Active,For Profit,2023-03-08,"Looking for a travel company that delivers personalized itineraries based on your unique preferences?  Planify.holiday uses cutting-edge artificial intelligence technology to create customized travel itineraries that are tailored to your specific needs and desires. Whether you're looking for a romantic getaway, a family vacation, or an adventure-packed trip, our platform can create an itinerary that fits your style, budget, and schedule. With our platform, you'll never have to worry about cookie-cutter travel plans again. Planify.holiday is easy to use and intuitive, allowing you to easily input your travel dates, destinations, and interests. From there, our AI algorithms go to work, creating a detailed itinerary that includes everything from flights and hotels to activities and dining recommendations. Investing in our company means investing in the future of travel. With our AI-powered platform, we're revolutionizing the way people plan and experience travel.  Join us today and experience the personalized, hassle-free travel you've always dreamed of!",Pre-Seed,2023-03-08,day,"Artificial Intelligence (AI), Travel","Cheyenne, Wyoming, United States",Unleash the power of personalized travel. Our AI-generated itineraries are tailored to fit your unique preferences and needs.,"435,280",,,,,USD,,,,,https://planify.holiday,Western US,,,,,,,,,,,1-10,
ConvoQ AI,https://www.crunchbase.com/organization/convoq-ai,,,Active,For Profit,,"The heart of ConvoQ AI lies within its name: ‘Convo’ stands for ‘conversation’, while ‘Q’ represents both a cue — a subtle signal — and the inherent questions that fuel our desire for deeper understanding. The ‘AI’ is not just a tag; it’s our promise of advanced, intelligent insights.",,2023-07-01,day,"Analytics, Artificial Intelligence (AI), Business Intelligence, Consulting, Customer Service, Information Technology, Natural Language Processing, Software, Telecommunications","Dallas, Texas, United States",Harnessing AI to transform conversations into insights,"436,486",,,,,,,,,,https://convoq.ai/,"Dallas/Fort Worth Metroplex, Southern US",,https://twitter.com/convoqai,,https://www.linkedin.com/company/convoq,,,,,,,1-10,
Widerix,https://www.crunchbase.com/organization/widerix,,,Active,For Profit,,"The only software development agency focused solely on AI for IoT. We believe in the transformative power of Artificial Intelligence (AI) to redefine the Internet of Things (IoT) landscape for a meaningful impact and want to help with it. Our services: - AI solutions for IoT: we take full care about AI projects for your IoT product to deliver you a competitive advantage. From basic AI-driven data analytics for  better decision-making in smart home devices, to complex AI algorithms for predictive maintenance in complex IoT systems, ensuring efficiency and minimizing downtime. - Measurable Staff Augmentation (outstaffing): we provide you professionals with AI expertise to help you make your IoT product outstanding. Measurable means that we permanently collect feedback and all performance related questions will be resolved for your satisfaction. This set of services means whatever your IoT product's needs, we have the AI skills and experience to elevate it. Our tech stack: - JavaScript/Typescript - Python and Next.js - Kubernetes and Docker - AWS IoT Core and Google Cloud IoT Core - Apache Kafka and Apache Spark - TensorFlow PyTorch Scikit-learn - Apache Hadoop and Apache Spark - Keras and Pandas - Natural Language Toolkit (NLTK) and SpaCy - AWS IoT Greengrass and Microsoft Azure IoT Suite - NVIDIA Jetson Platform Our development center is located in Warsaw, Poland while we hire across all Europe.  We aim to reduce the environmental impact of our work and contribute to a green sustainable future.",,2023-04-01,day,"Artificial Intelligence (AI), Internet of Things, Software, Staffing Agency","Dover, Delaware, United States",The only software development agency focused solely on AI for IoT.,"440,482",,,,,,,,,,https://www.widerix.com,"East Coast, Southern US",,https://twitter.com/Widerix42,https://www.facebook.com/profile.php?id=100092477733496,https://www.instagram.com/widerix42/,,,,,,1,1-10,Michael Zhdanau
Underhive,https://www.crunchbase.com/organization/underhive,,,Active,For Profit,,,,2023-06-01,month,"Artificial Intelligence (AI), Developer Tools, Software","Wilmington, Delaware, United States",Helping software engineers do more with less.,"441,403",,,,,,,,,,https://underhive.in,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/tryunderhive,,https://www.linkedin.com/company/96398489,,,,,,1,1-10,Aayushman Choudhary
LedgerBox,https://www.crunchbase.com/organization/ledgerbox,,,Active,For Profit,,"LedgerBox converts your PDF bank statements, invoices, and receipts to Excel and CSV using cutting edge AI and OCR. LedgerBox streamlines your financial record-keeping, saving time and reducing errors. Embrace a user-friendly solution that transforms complex financial data into manageable insights.",,2023-10-01,month,"Accounting, Artificial Intelligence (AI), Banking, Financial Services, Machine Learning, Software","Elm Grove, Wisconsin, United States","LedgerBox uses advanced AI and OCR technology to convert PDF bank statements, invoices, and receipts into Excel and CSV formats.","442,052",,,,,,,,,,https://ledgerbox.io,"Great Lakes, Midwestern US",,https://www.x.com/ledgerboxio/,https://www.facebook.com/ledgerbox,https://www.linkedin.com/company/ledgerboxio/,,,,,,1,1-10,Sean Lawton
SensorAI Technology,https://www.crunchbase.com/organization/sensorai-technology,,,Active,For Profit,,A healthcare software company integrating artificial intelligence in sensor technology to revolutionize clinical outcomes.,,2023-06-23,day,"Artificial Intelligence (AI), Database, Health Care, Manufacturing, Medical, Predictive Analytics, Software","Dallas, Texas, United States",Healthcare Software Company,"443,538",,,,,,,,,,https://www.sensoraitech.com,"Dallas/Fort Worth Metroplex, Southern US",,,,https://www.linkedin.com/in/sensoraitechnology/,,,,,,1,1-10,Nida Fatima
Theragen,https://www.crunchbase.com/organization/theragen,,1,Active,For Profit,,,,2023-06-01,day,"Generative AI, Mental Health, Software","New Orleans, Louisiana, United States",Data science methods to enhance the mental health of individuals and businesses.,"444,340",,,,,,,,,,https://theragen.ai,Southern US,,,,https://linkedin.com/in/theragen,,,,,,,1-10,
Mocdt,https://www.crunchbase.com/organization/mocdt,,,Active,For Profit,,"MocDT is a leading technology company revolutionizing work software with AI. We streamline processes, boost productivity, and simplify tasks. Join us on our journey to shape the future of work life.",,2023-06-06,day,"Artificial Intelligence (AI), Information Technology, SaaS, Software, Virtual Workforce","Dover, Delaware, United States",AI-powered Worksuite built for high-performing teams.,"445,450",,,,,,,,,,https://mocdt.com/,"East Coast, Southern US",,,https://m.facebook.com/mocdtofficial/,https://www.linkedin.com/company/mocdt/?,,,,,,1,1-10,Fardin Shek
